Environment,Phenotype,pine_correlation,spruce_correlation,PhenAbb,HeatmapOrder_Phen_Pine,HeatmapOrder_Envi_Pine
CMD,HtFinalS01_mm,0.21,0.21,HS1,9,8
CMD,HtFinalS02_mm,0.28,0.34,HS2,13,8
CMD,LinearGthS02_Days,-0.01,0.15,LGD,7,8
CMD,MaxGthRate_mm_Day,-0.08,-0.26,MGR,4,8
CMD,RootShoot_Ratio,0.18,0.28,RSW,1,8
CMD,TotalWeight,0.14,0.2,RWSW,17,8
DD0,BudBreakS02_day,0.03,-0.17,BB,3,11
DD0,BudSet_day,-0.33,-0.33,BS,2,11
DD0,ColdInjuryFallS02_Mean,-0.37,-0.74,FCI,11,11
DD0,ColdInjuryMidWinterS02_Mean,-0.3,-0.55,WCI,10,11
DD0,ColdInjurySpringS02_Mean,-0.07,-0.45,SCI,12,11
DD0,FinalRootWeightS02_g,-0.09,-0.36,RTWT,14,11
DD0,FinalShootWeightS02_g,-0.05,0.18,SHWT,16,11
DD0,FinalStemDiamS02_mm,-0.05,-0.36,DIAM,15,11
DD0,Gth5.95pctS02_Days,-0.09,-0.48,5D95,8,11
DD0,Gth5pctS02_Day,-0.04,0.04,D05G,6,11
DD0,Gth95pctS02_Day,-0.17,-0.47,D95G,5,11
DD0,HtFinalS01_mm,-0.18,-0.23,HS1,9,11
DD0,HtFinalS02_mm,-0.19,-0.27,HS2,13,11
DD0,LinearGthS02_Days,-0.04,-0.45,LGD,7,11
DD0,MaxGthRate_mm_Day,0.21,-0.1,MGR,4,11
DD0,RootShoot_Ratio,-0.06,-0.38,RSW,1,11
DD0,TotalWeight,0.02,-0.43,RWSW,17,11
DD5,BudBreakS02_day,0.17,-0.15,BB,3,17
DD5,BudSet_day,0.24,0.33,BS,2,17
DD5,ColdInjuryFallS02_Mean,0.12,-0.14,FCI,11,17
DD5,ColdInjuryMidWinterS02_Mean,0.1,-0.22,WCI,10,17
DD5,ColdInjurySpringS02_Mean,-0.11,-0.02,SCI,12,17
DD5,FinalRootWeightS02_g,0.22,0.24,RTWT,14,17
DD5,FinalShootWeightS02_g,0.16,0.09,SHWT,16,17
DD5,FinalStemDiamS02_mm,0.22,0.04,DIAM,15,17
DD5,Gth5.95pctS02_Days,0.04,0.19,5D95,8,17
DD5,Gth5pctS02_Day,0.15,0.25,D05G,6,17
DD5,Gth95pctS02_Day,0.19,0.26,D95G,5,17
DD5,HtFinalS01_mm,0.31,0.13,HS1,9,17
DD5,HtFinalS02_mm,0.33,0.27,HS2,13,17
DD5,LinearGthS02_Days,-0.05,0.08,LGD,7,17
DD5,MaxGthRate_mm_Day,-0.14,-0.36,MGR,4,17
DD5,RootShoot_Ratio,0.19,0.2,RSW,1,17
DD5,TotalWeight,0.11,0.09,RWSW,17,17
eFFP,BudBreakS02_day,0.08,0.02,BB,3,21
eFFP,BudSet_day,0.21,0.3,BS,2,21
eFFP,ColdInjuryFallS02_Mean,0.23,0.28,FCI,11,21
eFFP,ColdInjuryMidWinterS02_Mean,0.24,0.15,WCI,10,21
eFFP,ColdInjurySpringS02_Mean,0.06,0.23,SCI,12,21
eFFP,FinalRootWeightS02_g,0.09,0.32,RTWT,14,21
eFFP,FinalShootWeightS02_g,0.07,-0.02,SHWT,16,21
eFFP,FinalStemDiamS02_mm,0.07,0.2,DIAM,15,21
eFFP,Gth5.95pctS02_Days,0.09,0.35,5D95,8,21
eFFP,Gth5pctS02_Day,0.12,0.11,D05G,6,21
eFFP,Gth95pctS02_Day,0.23,0.39,D95G,5,21
eFFP,HtFinalS01_mm,0.16,0.2,HS1,9,21
eFFP,HtFinalS02_mm,0.19,0.3,HS2,13,21
eFFP,LinearGthS02_Days,0.03,0.25,LGD,7,21
eFFP,MaxGthRate_mm_Day,-0.14,-0.13,MGR,4,21
eFFP,RootShoot_Ratio,0.06,0.31,RSW,1,21
eFFP,TotalWeight,-0.01,0.28,RWSW,17,21
Elevation,BudBreakS02_day,-0.19,0.26,BB,3,19
Elevation,BudSet_day,-0.25,-0.15,BS,2,19
Elevation,ColdInjuryFallS02_Mean,0.14,0.5,FCI,11,19
Elevation,ColdInjuryMidWinterS02_Mean,0.11,0.49,WCI,10,19
Elevation,ColdInjurySpringS02_Mean,0.2,0.23,SCI,12,19
Elevation,FinalRootWeightS02_g,-0.2,-0.1,RTWT,14,19
Elevation,FinalShootWeightS02_g,-0.24,-0.24,SHWT,16,19
Elevation,FinalStemDiamS02_mm,-0.22,0.07,DIAM,15,19
Elevation,Gth5.95pctS02_Days,0,0.06,5D95,8,19
Elevation,Gth5pctS02_Day,-0.2,-0.23,D05G,6,19
Elevation,Gth95pctS02_Day,-0.16,0.01,D95G,5,19
Elevation,HtFinalS01_mm,-0.15,-0.05,HS1,9,19
Elevation,HtFinalS02_mm,-0.34,-0.19,HS2,13,19
Elevation,LinearGthS02_Days,0.11,0.17,LGD,7,19
Elevation,MaxGthRate_mm_Day,0.05,0.37,MGR,4,19
Elevation,RootShoot_Ratio,-0.18,-0.05,RSW,1,19
Elevation,TotalWeight,-0.14,0.07,RWSW,17,19
EMT,BudBreakS02_day,-0.05,0.16,BB,3,
EMT,BudSet_day,0.36,0.27,BS,2,
EMT,ColdInjuryFallS02_Mean,0.35,0.73,FCI,11,
EMT,ColdInjuryMidWinterS02_Mean,0.32,0.59,WCI,10,
EMT,ColdInjurySpringS02_Mean,0.12,0.46,SCI,12,
EMT,FinalRootWeightS02_g,0.08,0.33,RTWT,14,
EMT,FinalShootWeightS02_g,0.04,-0.15,SHWT,16,
EMT,FinalStemDiamS02_mm,0.03,0.37,DIAM,15,
EMT,Gth5.95pctS02_Days,0.12,0.44,5D95,8,
EMT,Gth5pctS02_Day,0.02,-0.04,D05G,6,
EMT,Gth95pctS02_Day,0.22,0.43,D95G,5,
EMT,HtFinalS01_mm,0.13,0.23,HS1,9,
EMT,HtFinalS02_mm,0.17,0.26,HS2,13,
EMT,LinearGthS02_Days,0.07,0.41,LGD,7,
EMT,MaxGthRate_mm_Day,-0.2,0.18,MGR,4,
EMT,RootShoot_Ratio,0.04,0.36,RSW,1,
EMT,TotalWeight,-0.04,0.44,RWSW,17,
Eref,BudBreakS02_day,0.03,0.01,BB,3,
Eref,BudSet_day,0.26,0.42,BS,2,
Eref,ColdInjuryFallS02_Mean,0.26,0.31,FCI,11,
Eref,ColdInjuryMidWinterS02_Mean,0.16,0.16,WCI,10,
Eref,ColdInjurySpringS02_Mean,-0.02,0.22,SCI,12,
Eref,FinalRootWeightS02_g,0.21,0.35,RTWT,14,
Eref,FinalShootWeightS02_g,0.07,-0.1,SHWT,16,
Eref,FinalStemDiamS02_mm,0.18,0.23,DIAM,15,
Eref,Gth5.95pctS02_Days,0.09,0.41,5D95,8,
Eref,Gth5pctS02_Day,0.03,0.13,D05G,6,
Eref,Gth95pctS02_Day,0.14,0.45,D95G,5,
Eref,HtFinalS01_mm,0.32,0.23,HS1,9,
Eref,HtFinalS02_mm,0.27,0.31,HS2,13,
Eref,LinearGthS02_Days,0.02,0.34,LGD,7,
Eref,MaxGthRate_mm_Day,-0.14,-0.22,MGR,4,
Eref,RootShoot_Ratio,0.18,0.34,RSW,1,
Eref,TotalWeight,0.11,0.27,RWSW,17,
EXT,BudBreakS02_day,0.02,-0.17,BB,3,
EXT,BudSet_day,0.33,0.3,BS,2,
EXT,ColdInjuryFallS02_Mean,0.15,-0.08,FCI,11,
EXT,ColdInjuryMidWinterS02_Mean,0.1,-0.11,WCI,10,
EXT,ColdInjurySpringS02_Mean,-0.06,0.04,SCI,12,
EXT,FinalRootWeightS02_g,0.23,0.21,RTWT,14,
EXT,FinalShootWeightS02_g,0.11,0.07,SHWT,16,
EXT,FinalStemDiamS02_mm,0.24,0.08,DIAM,15,
EXT,Gth5.95pctS02_Days,0.09,0.2,5D95,8,
EXT,Gth5pctS02_Day,0.03,0.2,D05G,6,
EXT,Gth95pctS02_Day,0.15,0.27,D95G,5,
EXT,HtFinalS01_mm,0.29,0.13,HS1,9,
EXT,HtFinalS02_mm,0.32,0.26,HS2,13,
EXT,LinearGthS02_Days,0.01,0.12,LGD,7,
EXT,MaxGthRate_mm_Day,-0.1,-0.22,MGR,4,
EXT,RootShoot_Ratio,0.21,0.19,RSW,1,
EXT,TotalWeight,0.15,0.14,RWSW,17,
FFP,BudBreakS02_day,0.17,-0.1,BB,3,
FFP,BudSet_day,0.16,0.26,BS,2,
FFP,ColdInjuryFallS02_Mean,0.11,-0.12,FCI,11,
FFP,ColdInjuryMidWinterS02_Mean,0.13,-0.18,WCI,10,
FFP,ColdInjurySpringS02_Mean,-0.05,-0.02,SCI,12,
FFP,FinalRootWeightS02_g,0.17,0.21,RTWT,14,
FFP,FinalShootWeightS02_g,0.12,0.06,SHWT,16,
FFP,FinalStemDiamS02_mm,0.16,0.01,DIAM,15,
FFP,Gth5.95pctS02_Days,0.06,0.18,5D95,8,
FFP,Gth5pctS02_Day,0.15,0.2,D05G,6,
FFP,Gth95pctS02_Day,0.22,0.24,D95G,5,
FFP,HtFinalS01_mm,0.24,0.11,HS1,9,
FFP,HtFinalS02_mm,0.26,0.22,HS2,13,
FFP,LinearGthS02_Days,-0.02,0.08,LGD,7,
FFP,MaxGthRate_mm_Day,-0.12,-0.33,MGR,4,
FFP,RootShoot_Ratio,0.13,0.17,RSW,1,
FFP,TotalWeight,0.07,0.06,RWSW,17,
Latitude,BudBreakS02_day,0.14,-0.2,BB,3,
Latitude,BudSet_day,-0.11,-0.19,BS,2,
Latitude,ColdInjuryFallS02_Mean,-0.42,-0.74,FCI,11,
Latitude,ColdInjuryMidWinterS02_Mean,-0.37,-0.62,WCI,10,
Latitude,ColdInjurySpringS02_Mean,-0.19,-0.45,SCI,12,
Latitude,FinalRootWeightS02_g,0.04,-0.17,RTWT,14,
Latitude,FinalShootWeightS02_g,0.15,0.28,SHWT,16,
Latitude,FinalStemDiamS02_mm,0.07,-0.24,DIAM,15,
Latitude,Gth5.95pctS02_Days,-0.12,-0.37,5D95,8,
Latitude,Gth5pctS02_Day,0.12,0.11,D05G,6,
Latitude,Gth95pctS02_Day,-0.07,-0.35,D95G,5,
Latitude,HtFinalS01_mm,-0.09,-0.15,HS1,9,
Latitude,HtFinalS02_mm,0.04,-0.09,HS2,13,
Latitude,LinearGthS02_Days,-0.14,-0.42,LGD,7,
Latitude,MaxGthRate_mm_Day,0.1,-0.18,MGR,4,
Latitude,RootShoot_Ratio,0.06,-0.21,RSW,1,
Latitude,TotalWeight,0.09,-0.29,RWSW,17,
log(MAP),BudBreakS02_day,-0.02,0.23,BB,3,
log(MAP),BudSet_day,0.01,0.03,BS,2,
log(MAP),ColdInjuryFallS02_Mean,0.25,0.67,FCI,11,
log(MAP),ColdInjuryMidWinterS02_Mean,0.26,0.62,WCI,10,
log(MAP),ColdInjurySpringS02_Mean,0.16,0.4,SCI,12,
log(MAP),FinalRootWeightS02_g,-0.12,0.07,RTWT,14,
log(MAP),FinalShootWeightS02_g,-0.09,-0.22,SHWT,16,
log(MAP),FinalStemDiamS02_mm,-0.11,0.21,DIAM,15,
log(MAP),Gth5.95pctS02_Days,0.08,0.24,5D95,8,
log(MAP),Gth5pctS02_Day,-0.02,-0.14,D05G,6,
log(MAP),Gth95pctS02_Day,0.1,0.21,D95G,5,
log(MAP),HtFinalS01_mm,-0.09,0.06,HS1,9,
log(MAP),HtFinalS02_mm,-0.11,0.03,HS2,13,
log(MAP),LinearGthS02_Days,0.1,0.28,LGD,7,
log(MAP),MaxGthRate_mm_Day,-0.15,0.29,MGR,4,
log(MAP),RootShoot_Ratio,-0.15,0.12,RSW,1,
log(MAP),TotalWeight,-0.19,0.22,RWSW,17,
log(MSP),BudBreakS02_day,0.13,0.17,BB,3,
log(MSP),BudSet_day,-0.34,-0.19,BS,2,
log(MSP),ColdInjuryFallS02_Mean,-0.05,0.16,FCI,11,
log(MSP),ColdInjuryMidWinterS02_Mean,-0.09,0.22,WCI,10,
log(MSP),ColdInjurySpringS02_Mean,-0.01,0.01,SCI,12,
log(MSP),FinalRootWeightS02_g,-0.1,-0.2,RTWT,14,
log(MSP),FinalShootWeightS02_g,-0.09,-0.13,SHWT,16,
log(MSP),FinalStemDiamS02_mm,-0.08,-0.12,DIAM,15,
log(MSP),Gth5.95pctS02_Days,-0.04,-0.11,5D95,8,
log(MSP),Gth5pctS02_Day,-0.02,-0.07,D05G,6,
log(MSP),Gth95pctS02_Day,-0.08,-0.13,D95G,5,
log(MSP),HtFinalS01_mm,-0.09,-0.16,HS1,9,
log(MSP),HtFinalS02_mm,-0.18,-0.24,HS2,13,
log(MSP),LinearGthS02_Days,0.01,-0.05,LGD,7,
log(MSP),MaxGthRate_mm_Day,0.03,0.13,MGR,4,
log(MSP),RootShoot_Ratio,-0.1,-0.18,RSW,1,
log(MSP),TotalWeight,-0.08,-0.14,RWSW,17,
Longitude,BudBreakS02_day,-0.02,-0.05,BB,3,
Longitude,BudSet_day,-0.21,-0.02,BS,2,
Longitude,ColdInjuryFallS02_Mean,0.04,-0.22,FCI,11,
Longitude,ColdInjuryMidWinterS02_Mean,0.04,-0.18,WCI,10,
Longitude,ColdInjurySpringS02_Mean,0.05,-0.17,SCI,12,
Longitude,FinalRootWeightS02_g,-0.01,-0.16,RTWT,14,
Longitude,FinalShootWeightS02_g,-0.12,-0.08,SHWT,16,
Longitude,FinalStemDiamS02_mm,0.02,-0.23,DIAM,15,
Longitude,Gth5.95pctS02_Days,0,-0.13,5D95,8,
Longitude,Gth5pctS02_Day,-0.06,0.1,D05G,6,
Longitude,Gth95pctS02_Day,-0.07,-0.1,D95G,5,
Longitude,HtFinalS01_mm,0.1,-0.06,HS1,9,
Longitude,HtFinalS02_mm,-0.09,-0.16,HS2,13,
Longitude,LinearGthS02_Days,0.03,-0.08,LGD,7,
Longitude,MaxGthRate_mm_Day,0.05,-0.11,MGR,4,
Longitude,RootShoot_Ratio,-0.01,-0.18,RSW,1,
Longitude,TotalWeight,0.01,-0.21,RWSW,17,
MAT,BudBreakS02_day,0.04,0.14,BB,3,
MAT,BudSet_day,0.29,0.42,BS,2,
MAT,ColdInjuryFallS02_Mean,0.32,0.63,FCI,11,
MAT,ColdInjuryMidWinterS02_Mean,0.23,0.41,WCI,10,
MAT,ColdInjurySpringS02_Mean,0,0.37,SCI,12,
MAT,FinalRootWeightS02_g,0.16,0.4,RTWT,14,
MAT,FinalShootWeightS02_g,0.11,-0.16,SHWT,16,
MAT,FinalStemDiamS02_mm,0.13,0.33,DIAM,15,
MAT,Gth5.95pctS02_Days,0.06,0.49,5D95,8,
MAT,Gth5pctS02_Day,0.11,0.04,D05G,6,
MAT,Gth95pctS02_Day,0.18,0.51,D95G,5,
MAT,HtFinalS01_mm,0.27,0.24,HS1,9,
MAT,HtFinalS02_mm,0.26,0.31,HS2,13,
MAT,LinearGthS02_Days,-0.01,0.44,LGD,7,
MAT,MaxGthRate_mm_Day,-0.2,-0.05,MGR,4,
MAT,RootShoot_Ratio,0.12,0.41,RSW,1,
MAT,TotalWeight,0.03,0.39,RWSW,17,
MCMT,BudBreakS02_day,-0.04,0.21,BB,3,
MCMT,BudSet_day,0.3,0.26,BS,2,
MCMT,ColdInjuryFallS02_Mean,0.38,0.76,FCI,11,
MCMT,ColdInjuryMidWinterS02_Mean,0.34,0.61,WCI,10,
MCMT,ColdInjurySpringS02_Mean,0.12,0.48,SCI,12,
MCMT,FinalRootWeightS02_g,0.05,0.3,RTWT,14,
MCMT,FinalShootWeightS02_g,0.02,-0.18,SHWT,16,
MCMT,FinalStemDiamS02_mm,0,0.34,DIAM,15,
MCMT,Gth5.95pctS02_Days,0.1,0.44,5D95,8,
MCMT,Gth5pctS02_Day,0.01,-0.07,D05G,6,
MCMT,Gth95pctS02_Day,0.16,0.42,D95G,5,
MCMT,HtFinalS01_mm,0.14,0.18,HS1,9,
MCMT,HtFinalS02_mm,0.14,0.22,HS2,13,
MCMT,LinearGthS02_Days,0.06,0.43,LGD,7,
MCMT,MaxGthRate_mm_Day,-0.2,0.19,MGR,4,
MCMT,RootShoot_Ratio,0.02,0.34,RSW,1,
MCMT,TotalWeight,-0.06,0.41,RWSW,17,
MWMT,BudBreakS02_day,0.15,-0.19,BB,3,
MWMT,BudSet_day,0.23,0.24,BS,2,
MWMT,ColdInjuryFallS02_Mean,0.07,-0.29,FCI,11,
MWMT,ColdInjuryMidWinterS02_Mean,0.08,-0.31,WCI,10,
MWMT,ColdInjurySpringS02_Mean,-0.09,-0.12,SCI,12,
MWMT,FinalRootWeightS02_g,0.21,0.16,RTWT,14,
MWMT,FinalShootWeightS02_g,0.13,0.14,SHWT,16,
MWMT,FinalStemDiamS02_mm,0.23,-0.01,DIAM,15,
MWMT,Gth5.95pctS02_Days,0.06,0.08,5D95,8,
MWMT,Gth5pctS02_Day,0.12,0.23,D05G,6,
MWMT,Gth95pctS02_Day,0.18,0.14,D95G,5,
MWMT,HtFinalS01_mm,0.29,0.1,HS1,9,
MWMT,HtFinalS02_mm,0.31,0.22,HS2,13,
MWMT,LinearGthS02_Days,-0.03,-0.02,LGD,7,
MWMT,MaxGthRate_mm_Day,-0.1,-0.31,MGR,4,
MWMT,RootShoot_Ratio,0.18,0.13,RSW,1,
MWMT,TotalWeight,0.12,0.03,RWSW,17,
NFFD,BudBreakS02_day,0.12,-0.02,BB,3,
NFFD,BudSet_day,0.27,0.37,BS,2,
NFFD,ColdInjuryFallS02_Mean,0.18,0.15,FCI,11,
NFFD,ColdInjuryMidWinterS02_Mean,0.16,0.01,WCI,10,
NFFD,ColdInjurySpringS02_Mean,-0.03,0.16,SCI,12,
NFFD,FinalRootWeightS02_g,0.19,0.35,RTWT,14,
NFFD,FinalShootWeightS02_g,0.15,-0.01,SHWT,16,
NFFD,FinalStemDiamS02_mm,0.17,0.18,DIAM,15,
NFFD,Gth5.95pctS02_Days,0.06,0.35,5D95,8,
NFFD,Gth5pctS02_Day,0.16,0.17,D05G,6,
NFFD,Gth95pctS02_Day,0.23,0.4,D95G,5,
NFFD,HtFinalS01_mm,0.26,0.21,HS1,9,
NFFD,HtFinalS02_mm,0.3,0.33,HS2,13,
NFFD,LinearGthS02_Days,-0.03,0.24,LGD,7,
NFFD,MaxGthRate_mm_Day,-0.16,-0.27,MGR,4,
NFFD,RootShoot_Ratio,0.15,0.33,RSW,1,
NFFD,TotalWeight,0.07,0.24,RWSW,17,
PAS,BudBreakS02_day,-0.23,0.16,BB,3,
PAS,BudSet_day,0.16,0.02,BS,2,
PAS,ColdInjuryFallS02_Mean,0.19,0.66,FCI,11,
PAS,ColdInjuryMidWinterS02_Mean,0.21,0.63,WCI,10,
PAS,ColdInjurySpringS02_Mean,0.23,0.43,SCI,12,
PAS,FinalRootWeightS02_g,-0.12,0.08,RTWT,14,
PAS,FinalShootWeightS02_g,-0.1,-0.21,SHWT,16,
PAS,FinalStemDiamS02_mm,-0.12,0.25,DIAM,15,
PAS,Gth5.95pctS02_Days,0.1,0.27,5D95,8,
PAS,Gth5pctS02_Day,-0.11,-0.2,D05G,6,
PAS,Gth95pctS02_Day,0.05,0.22,D95G,5,
PAS,HtFinalS01_mm,-0.19,0.1,HS1,9,
PAS,HtFinalS02_mm,-0.14,0.05,HS2,13,
PAS,LinearGthS02_Days,0.12,0.32,LGD,7,
PAS,MaxGthRate_mm_Day,-0.06,0.37,MGR,4,
PAS,RootShoot_Ratio,-0.12,0.13,RSW,1,
PAS,TotalWeight,-0.14,0.26,RWSW,17,
SHM,BudBreakS02_day,-0.06,-0.22,BB,3,
SHM,BudSet_day,0.37,0.25,BS,2,
SHM,ColdInjuryFallS02_Mean,0.07,-0.25,FCI,11,
SHM,ColdInjuryMidWinterS02_Mean,0.11,-0.31,WCI,10,
SHM,ColdInjurySpringS02_Mean,-0.02,-0.04,SCI,12,
SHM,FinalRootWeightS02_g,0.16,0.24,RTWT,14,
SHM,FinalShootWeightS02_g,0.13,0.17,SHWT,16,
SHM,FinalStemDiamS02_mm,0.14,0.09,DIAM,15,
SHM,Gth5.95pctS02_Days,0.05,0.13,5D95,8,
SHM,Gth5pctS02_Day,0.06,0.17,D05G,6,
SHM,Gth95pctS02_Day,0.12,0.17,D95G,5,
SHM,HtFinalS01_mm,0.17,0.18,HS1,9,
SHM,HtFinalS02_mm,0.26,0.29,HS2,13,
SHM,LinearGthS02_Days,-0.03,0.03,LGD,7,
SHM,MaxGthRate_mm_Day,-0.07,-0.24,MGR,4,
SHM,RootShoot_Ratio,0.15,0.21,RSW,1,
SHM,TotalWeight,0.11,0.14,RWSW,17,
TD,BudBreakS02_day,0.09,-0.26,BB,3,
TD,BudSet_day,-0.14,-0.09,BS,2,
TD,ColdInjuryFallS02_Mean,-0.32,-0.7,FCI,11,
TD,ColdInjuryMidWinterS02_Mean,-0.28,-0.62,WCI,10,
TD,ColdInjurySpringS02_Mean,-0.16,-0.44,SCI,12,
TD,FinalRootWeightS02_g,0.1,-0.14,RTWT,14,
TD,FinalShootWeightS02_g,0.07,0.19,SHWT,16,
TD,FinalStemDiamS02_mm,0.15,-0.25,DIAM,15,
TD,Gth5.95pctS02_Days,-0.07,-0.3,5D95,8,
TD,Gth5pctS02_Day,0.06,0.16,D05G,6,
TD,Gth95pctS02_Day,-0.07,-0.25,D95G,5,
TD,HtFinalS01_mm,0.06,-0.08,HS1,9,
TD,HtFinalS02_mm,0.05,-0.06,HS2,13,
TD,LinearGthS02_Days,-0.09,-0.33,LGD,7,
TD,MaxGthRate_mm_Day,0.12,-0.28,MGR,4,
TD,RootShoot_Ratio,0.12,-0.18,RSW,1,
TD,TotalWeight,0.15,-0.28,RWSW,17,
